class	class_label	OMIM	Approved Gene Symbol (HGNC)
MONDO:0013138	BRV2	OMIM:613106	BRV2
MONDO:0014068	cone-rod dystrophy 17	OMIM:615163	CORD17
MONDO:0013151	CACD3	OMIM:613144	CACD3
MONDO:0011384	hypertension, essential, susceptibility to, 1	OMIM:603918	HYT1
MONDO:0010668	skeletal dysplasia-intellectual disability syndrome	OMIM:309620	MRSD
MONDO:0010568	Aicardi syndrome	OMIM:304050	AIC
MONDO:0011589	MCOPCB2	OMIM:605738	MCOPCB2
MONDO:0013860	idiopathic membranous glomerulonephritis	OMIM:614692	MBNP
MONDO:0011845	migraine with or without aura, susceptibility to, 3	OMIM:607498	MGR3
MONDO:0011621	acropectoral syndrome	OMIM:605967	ACRPS
MONDO:0010418	hereditary spastic paraplegia 34	OMIM:300750	SPG34
MONDO:0013813	dystonia 21	OMIM:614588	DYT21
MONDO:0013597	platelet-type bleeding disorder 14	OMIM:614158	BDPLT14
MONDO:0012441	migraine with or without aura, susceptibility to, 11	OMIM:610209	MGR11
MONDO:0011578	familial papillary thyroid carcinoma with renal papillary neoplasia	OMIM:605642	PTCPRN
MONDO:0013973	ECTD5	OMIM:614927	ECTD5
MONDO:0012974	autosomal dominant nonsyndromic deafness 59	OMIM:612642	DFNA59
MONDO:0011557	radiation sensitivity/chromosome instability syndrome, autosomal dominant	OMIM:605463	RSCIS
MONDO:0012751	AAA3	OMIM:611891	AAA3
MONDO:0013365	autosomal recessive nonsyndromic deafness 83	OMIM:613685	DFNB83
MONDO:0013684	VUR6	OMIM:614319	VUR6
MONDO:0012343	AAA2	OMIM:609782	AAA2
MONDO:0012630	Alzheimer disease 13	OMIM:611152	AD13
MONDO:0012492	restless legs syndrome, susceptibility to, 3	OMIM:610438	RLS3
MONDO:0011015	cataract 24	OMIM:601202	CTAA2
MONDO:0013108	leukemia, acute lymphocytic, susceptibility to, 1	OMIM:613065	ALL1
MONDO:0012066	ATFB1	OMIM:608583	ATFB1
MONDO:0012706	familial temporal lobe epilepsy 4	OMIM:611631	ETL4
MONDO:0011768	myasthenia gravis with thymus hyperplasia	OMIM:607085	MYAS1
MONDO:0010548	spinocerebellar ataxia, X-linked 2	OMIM:302600	SCAX2
MONDO:0010462	syndromic X-linked intellectual disability Chudley-Schwartz type	OMIM:300861	MRXSCS
MONDO:0010347	MRX84	OMIM:300505	MRX84
MONDO:0012877	major affective disorder 8	OMIM:612357	MAFD8
MONDO:0012884	SLEB13	OMIM:612378	SLEB13
MONDO:0013844	stuttering, familial persistent, 4	OMIM:614668	STUT4
MONDO:0013101	BCC2	OMIM:613058	BCC2
MONDO:0007184	AGA1	OMIM:109200	AFA1
MONDO:0013152	SLEB14	OMIM:613145	SLEB14
MONDO:0007933	vitelliform macular dystrophy 1	OMIM:153840	VMD1
MONDO:0011847	migraine without aura	OMIM:607501	MGR4
MONDO:0012087	primary ciliary dyskinesia 4	OMIM:608646	CILD4
MONDO:0012082	ASPG1	OMIM:608638	ASPG1
MONDO:0009539	lymphoblastic leukemia, acute, with lymphomatous features	OMIM:247640	LALL
MONDO:0008164	OTSC1	OMIM:166800	OTSC1
MONDO:0012950	ANIB10	OMIM:612587	ANIB10
MONDO:0010243	X-linked immunoneurologic disorder	OMIM:300076	INDX
MONDO:0007295	rolandic epilepsy	OMIM:117100	ECT
MONDO:0012899	AGA3	OMIM:612421	AGA3
MONDO:0012053	ANIB2	OMIM:608542	ANIB2
MONDO:0011440	hypertension, essential, susceptibility to, 2	OMIM:604329	HYT2
MONDO:0009349	holoprosencephaly 1	OMIM:236100	HPE1
MONDO:0011943	SLEN2	OMIM:607966	SLEN2
MONDO:0007280	cataract 8 multiple types	OMIM:115665	CCV
MONDO:0010061	autosomal recessive cerebellar ataxia-blindness-deafness syndrome	OMIM:271250	SCAR3
MONDO:0007058	acropectorovertebral dysplasia	OMIM:102510	ACRPV
MONDO:0009649	MYMY1	OMIM:252350	MYMY1
MONDO:0010529	X-linked spinocerebellar ataxia type 3	OMIM:301790	SCAX3
MONDO:0008072	IGAN1	OMIM:161950	IGAN1
MONDO:0011392	autosomal recessive nonsyndromic deafness 20	OMIM:604060	DFNB20
MONDO:0012194	ANIB3	OMIM:609122	ANIB3
MONDO:0011220	PARK3	OMIM:602404	PARK3
MONDO:0007111	aneurysm, intracranial berry type 1	OMIM:105800	ANIB1
MONDO:0008000	migraine with or without aura, susceptibility to, 1	OMIM:157300	MGR1
MONDO:0012766	hereditary spastic paraplegia 37	OMIM:611945	SPG37
MONDO:0013260	EOE2	OMIM:613412	EOE2
MONDO:0013022	restless legs syndrome, susceptibility to, 7	OMIM:612853	RLS7
MONDO:0012697	OTSC7	OMIM:611572	OTSC7
MONDO:0007130	congenital total pulmonary venous return anomaly	OMIM:106700	TAPVR1
MONDO:0011844	myoclonic dystonia 15	OMIM:607488	DYT15
MONDO:0012968	Usher syndrome type 1H	OMIM:612632	USH1H
MONDO:0008412	intestinal schistosomiasis	OMIM:181460	SM1
MONDO:0013592	nonsyndromic congenital nail disorder 9	OMIM:614149	NDNC9
MONDO:0012447	synpolydactyly type 3	OMIM:610234	SPD3
MONDO:0012278	PSNP2	OMIM:609454	PSNP2
MONDO:0010868	rippling muscle disease 1	OMIM:600332	RMD1
MONDO:0013708	MRT25	OMIM:614346	MRT25
MONDO:0012655	EJM4	OMIM:611364	EJM4
MONDO:0012100	major depressive disorder 2	OMIM:608691	MDD2
MONDO:0007864	angioosteohypertrophic syndrome	OMIM:149000	KTWS
MONDO:0013694	MRT31	OMIM:614329	MRT31
MONDO:0011807	SLEH1	OMIM:607279	SLEH1
MONDO:0012708	PLSA1	OMIM:611637	PLSA1
MONDO:0012181	hereditary spastic paraplegia 27	OMIM:609041	SPG27
MONDO:0013207	FECD7	OMIM:613271	FECD7
MONDO:0012678	ATFB5	OMIM:611494	ATFB5
MONDO:0013637	primary biliary cholangitis 5	OMIM:614221	PBC5
MONDO:0010658	syndromic X-linked intellectual disability 12	OMIM:309545	MRXS12
MONDO:0012705	familial temporal lobe epilepsy 3	OMIM:611630	FMTLE
MONDO:0011673	autosomal dominant nonsyndromic deafness 30	OMIM:606451	DFNA30
MONDO:0012375	autosomal recessive nonsyndromic deafness 47	OMIM:609946	DFNB47
MONDO:0024559	AAT1	OMIM:607086	AAT1
MONDO:0011648	radiation-induced meningioma	OMIM:606190	MNRI
MONDO:0007137	isolated congenital anosmia	OMIM:107200	ANIC
MONDO:0010648	major affective disorder 2	OMIM:309200	MAFD2
MONDO:0009553	Plasmodium falciparum blood infection level	OMIM:248310	PFBI
MONDO:0011991	autosomal recessive nonsyndromic deafness 38	OMIM:608219	DFNB38
MONDO:0009764	ocular motor apraxia, Cogan type	OMIM:257550	COMA
MONDO:0007520	ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1	OMIM:129900	EEC1
MONDO:0011862	hereditary spastic paraplegia 24	OMIM:607584	SPG24
MONDO:0012631	Alzheimer disease 14	OMIM:611154	AD14
MONDO:0012765	LMPH1B	OMIM:611944	LMPH1B
MONDO:0011195	Usher syndrome type 1E	OMIM:602097	USH1E
MONDO:0010550	Charcot-Marie-Tooth disease X-linked recessive 2	OMIM:302801	CMTX2
MONDO:0010453	MRX92	OMIM:300851	MRX92
MONDO:0012754	NNO3	OMIM:611897	NNO3
MONDO:0014127	oculocutaneous albinism type 5	OMIM:615312	OCA5
MONDO:0010736	split hand-foot malformation 2	OMIM:313350	SHFM2
MONDO:0012842	CMM7	OMIM:612263	CMM7
MONDO:0012836	SLEB12	OMIM:612254	SLEB12
MONDO:0013086	NBLST6	OMIM:613017	NBLST6
MONDO:0008340	congenital ptosis (disease)	OMIM:178300	PTOS1
MONDO:0007108	anal canal carcinoma	OMIM:105580	ANC
MONDO:0008071	autosomal dominant progressive nephropathy with hypertension	OMIM:161900	RFH1
MONDO:0013703	MRT33	OMIM:614341	MRT33
MONDO:0010374	retinitis pigmentosa 34	OMIM:300605	RP34
MONDO:0010290	MNG2	OMIM:300273	MNG2
MONDO:0012158	KTCN2	OMIM:608932	KTCN2
MONDO:0011757	brachydactyly type A1B	OMIM:607004	BDA1B
MONDO:0008683	Wilms tumor 3	OMIM:194090	WT3
MONDO:0013649	hypotrichosis 9	OMIM:614237	HYPT9
MONDO:0012617	MRT9	OMIM:611095	MRT9
MONDO:0012210	migraine with aura, susceptibility to, 7	OMIM:609179	MGR7
MONDO:0012487	alopecia-intellectual disability syndrome 2	OMIM:610422	APMR2
MONDO:0012537	SHFLD2	OMIM:610685	SHFLD2
MONDO:0010722	X-linked retinal dysplasia	OMIM:312550	PRD
MONDO:0011586	OTSC2	OMIM:605727	OTSC2
MONDO:0011625	autosomal dominant nonsyndromic deafness 18	OMIM:606012	DFNA18
MONDO:0007401	craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome	OMIM:123155	HDCPH1
MONDO:0007332	SHFLD1	OMIM:119100	SHFL1
MONDO:0013257	LPRS6	OMIM:613407	LPRS6
MONDO:0010410	AGA2	OMIM:300710	AGA2
MONDO:0013132	hereditary spastic paraplegia 36	OMIM:613096	SPG36
MONDO:0012661	susceptibility to visceral leishmaniasis, 3	OMIM:611382	KAZA3
MONDO:0011188	arrhythmogenic right ventricular dysplasia 3	OMIM:602086	ARVD3
MONDO:0011961	hereditary sensory and autonomic neuropathy type 1B	OMIM:608088	HSN1B
MONDO:0012086	autosomal dominant nonsyndromic deafness 31	OMIM:608645	DFNA31
MONDO:0012377	ASPG4	OMIM:609954	ASPG4
MONDO:0008187	panic disorder 1	OMIM:167870	PAND1
MONDO:0013084	NBLST4	OMIM:613015	NBLST4
MONDO:0011967	heterotopia, periventricular, associated with chromosome 5P anomalies	OMIM:608098	PVNH3
MONDO:0012844	primary ciliary dyskinesia 8	OMIM:612274	CILD8
MONDO:0013496	IGAN2	OMIM:613944	IGAN2
MONDO:0010841	Waardenburg syndrome type 2B	OMIM:600193	WS2B
MONDO:0012603	episodic kinesigenic dyskinesia 2	OMIM:611031	EKD2
MONDO:0013068	age-related hearing impairment 2	OMIM:612976	ARHI2
MONDO:0010846	EXT3	OMIM:600209	EXT3
MONDO:0011425	dilated cardiomyopathy 1H	OMIM:604288	CMD1H
MONDO:0013088	FL1	OMIM:613024	FL1
MONDO:0012443	ANIB4	OMIM:610213	ANIB4
MONDO:0012321	Alzheimer disease 10	OMIM:609636	AD10
MONDO:0008205	patella aplasia/hypoplasia	OMIM:168860	PTLAH
MONDO:0010253	migraine, familial typical, susceptibility to, 2	OMIM:300125	MGR2
MONDO:0011259	retinitis pigmentosa 22	OMIM:602594	RP22
MONDO:0013833	KTCN7	OMIM:614629	KTCN7
MONDO:0011360	autosomal recessive nonsyndromic deafness 14	OMIM:603678	DFNB14
MONDO:0011770	aortic aneurysm, familial thoracic 2	OMIM:607087	AAT2
MONDO:0012760	EIG5	OMIM:611934	EIG5
MONDO:0011709	split hand-foot malformation 5	OMIM:606708	SHFM5
MONDO:0010270	syndromic X-linked intellectual disability 7	OMIM:300218	MRXS7
MONDO:0012872	THPH9	OMIM:612348	THPH9
MONDO:0012113	EIG3	OMIM:608762	EIG3
MONDO:0000912	autosomal recessive nonsyndromic deafness 5	OMIM:600792	DFNB5
MONDO:0012000	specific phobia	OMIM:608251	PHOBS
MONDO:0010927	OFC3	OMIM:600757	OFC3
MONDO:0013841	stuttering, familial persistent, 3	OMIM:614655	STUT3
MONDO:0012188	neuronal ceroid lipofuscinosis 9	OMIM:609055	CLN9
MONDO:0013448	GEFSP8	OMIM:613828	GEFSP8
MONDO:0010307	MRX73	OMIM:300355	MRX73
MONDO:0011710	specific language impairment 1	OMIM:606711	SLI1
MONDO:0011999	OTSC3	OMIM:608244	OTSC3
MONDO:0008656	benign paroxysmal positional nystagmus	OMIM:193007	BPPV
MONDO:0011886	torsion dystonia 13	OMIM:607671	DYT13
MONDO:0011954	CMM4	OMIM:608035	CMM4
MONDO:0012122	MYMY3	OMIM:608796	MYMY3
MONDO:0010761	retinitis pigmentosa Y-linked	OMIM:400004	RPY
MONDO:0011164	malignant hyperthermia, susceptibility to, 6	OMIM:601888	MHS6
MONDO:0011635	MNG3	OMIM:606082	MNG3
MONDO:0011813	polydactyly, postaxial, type A3	OMIM:607324	PAPA3
MONDO:0012055	Larsen-like osseous dysplasia-short stature syndrome	OMIM:608545	LRSL
MONDO:0008653	VUR1	OMIM:193000	VUR
MONDO:0011592	EVR3	OMIM:605750	EVR3
MONDO:0007787	Ambras type hypertrichosis universalis congenita	OMIM:145701	HTC1
MONDO:0009893	polydactyly, postaxial, type A5	OMIM:263450	PAPA5
MONDO:0012232	stuttering, familial persistent, 2	OMIM:609261	STUT2
MONDO:0010918	EIG	OMIM:600669	EGI
MONDO:0012618	MRT10	OMIM:611096	MRT10
MONDO:0012491	WM2	OMIM:610430	WM2
MONDO:0012050	major depressive disorder 1	OMIM:608520	MDD1
MONDO:0011653	thyroid cancer, nonmedullary, 3	OMIM:606240	NMTC3
MONDO:0013029	cerebellar ataxia type 9	OMIM:612876	SCA9
MONDO:0012023	autosomal dominant nonsyndromic deafness 49	OMIM:608372	DFNA49
MONDO:0013020	narcolepsy 5, susceptibility to	OMIM:612851	NRCLP5
MONDO:0007719	diaphragmatic hernia, congenital 1	OMIM:142340	DIH1
MONDO:0011799	autosomal recessive nonsyndromic deafness 33	OMIM:607239	DFNB33
MONDO:0010390	ocular albinism with late-onset sensorineural deafness	OMIM:300650	OASD
MONDO:0013079	primary biliary cholangitis 2	OMIM:613007	PBC2
MONDO:0010764	DFNY1	OMIM:400043	DFNY1
MONDO:0012346	GEFSP4	OMIM:609800	GEFSP4
MONDO:0011286	autosomal recessive nonsyndromic deafness 13	OMIM:603098	DFNB13
MONDO:0011491	EIG7	OMIM:604827	EJM2
MONDO:0011602	autosomal recessive nonsyndromic deafness 27	OMIM:605818	DFNB27
MONDO:0008588	hereditary geniospasm	OMIM:190100	GSM1
MONDO:0011460	arrhythmogenic right ventricular dysplasia 6	OMIM:604401	ARVD6
MONDO:0014067	short ulna-dysmorphism-hypotonia-intellectual disability syndrome	OMIM:615162	MRT35
MONDO:0024521	aortic aneurysm, familial abdominal, 1	OMIM:100070	AAA1
MONDO:0008040	transient myeloproliferative syndrome (disease)	OMIM:159595	TAM
MONDO:0010280	ptosis, hereditary congenital 2	OMIM:300245	PTOS2
MONDO:0012351	zygodactyly type 1	OMIM:609815	ZD1
MONDO:0013780	retinitis pigmentosa 63	OMIM:614494	RP63
MONDO:0011312	thyroid carcinoma, nonmedullary, with or without cell oxyphilia	OMIM:603386	TCO
MONDO:0013832	KTCN8	OMIM:614628	KTCN8
MONDO:0013629	MRT16	OMIM:614208	MRT16
MONDO:0012440	migraine with or without aura, susceptibility to, 10	OMIM:610208	MGR10
MONDO:0010404	X-linked non progressive cerebellar ataxia	OMIM:300703	SCAX5
MONDO:0011753	EIG2	OMIM:606972	EIG2
MONDO:0012179	narcolepsy 3	OMIM:609039	NRCLP3
MONDO:0011649	AVSD 1	OMIM:606215	AVSD1
MONDO:0011944	SLEN3	OMIM:607967	SLEN3
MONDO:0012151	attention deficit-hyperactivity disorder, susceptibility to, 3	OMIM:608905	ADHD3
MONDO:0011815	hypertension, essential, susceptibility to, 3	OMIM:607329	HYT3
MONDO:0008067	nasopharyngeal carcinoma, susceptibility to, 2	OMIM:161550	NPCA2
